id,type,early,late
1,phrase,"<u>After Jane dusts, the dining</u> table is clean","<u>After Jane dusts the dining table,</u> it's clean"
2,phrase,"<u>After John runs, the race</u> is over","<u>After John runs the race,</u> it's over"
5,phrase,"<u>Because Mike phoned, his mother</u> was relieved","<u>Because Mike phoned his mother,</u> she was relieved"
7,phrase,"<u>Because Sarah answered, the teacher</u> was proud","<u>Because Sarah answered the teacher,</u> she was proud"
8,phrase,"<u>Because Tara cleaned, the house</u> was spotless","<u>Because Tara cleaned the house,</u> it was spotless"
9,phrase,"<u>Because George forgot, the party</u> had started","<u>Because George forgot the party,</u> he was sad"
10,phrase,"<u>Because Mike paid, the bill</u> was smaller","<u>Because Mike paid the bill,</u> it was smaller"
13,phrase,"<u>If Charles is baby sitting, the children</u> are happy","<u>If Charles is baby sitting the children,</u> they're happy"
14,phrase,"<u>If George is programming, the computer</u> is busy","<u>If George is programming the computer,</u> it's busy"
15,phrase,"<u>If Ian doesn't notice, Beth is</u> fine","<u>If Ian doesn't notice Beth,</u> it's fine"
16,phrase,"<u>If Joe starts, the meeting</u> will be long","<u>If Joe starts the meeting,</u> it'll be long"
18,phrase,"<u>If Laura is folding, the towels</u> will be neat","<u>If Laura is folding the towels,</u> they'll be neat"
19,phrase,"<u>When the baby finishes, the bottle</u> will be empty","<u>When the baby finishes the bottle,</u> it'll be empty"
20,phrase,"<u>If Barbara gives up, the ship</u> will be plundered","<u>If Barbara gives up the ship,</u> it'll be plundered"
21,phrase,"<u>If the Scissor Sisters open, the show</u> will be great","<u>If the Scissor Sisters open the show,</u> it'll be great"
22,phrase,"<u>If the maid packs, the suitcase</u> will be tidy","<u>If the maid packs the suitcase,</u> it'll be tidy"
23,phrase,"<u>If Tom wins, the contest</u> is over","<u>If Tom wins the contest,</u> it's over"
24,phrase,"<u>If the doctor calls, your sister</u> will answer","<u>If the doctor calls your sister,</u> she'll answer"
25,phrase,"<u>If Jack cleans, the kitchen</u> will be filthy","<u>If Jack cleans the kitchen,</u> it'll be filthy"
26,phrase,"<u>If dad digs, the hole</u> will be deep","<u>If dad digs the hole,</u> it'll be deep"
27,phrase,"<u>When a man cheats, his friends</u> get angry","<u>When a man cheats his friends,</u> they're angry"
29,phrase,"<u>When Gaga sings, the song</u> is a hit","<u>When Gaga sings the song,</u> it's a hit"
30,phrase,"<u>When Roger leaves, the house</u> is dark","<u>When Roger leaves the house,</u> it's dark"
31,phrase,"<u>When Suzie visits, her grandpa</u> is happy","<u>When Suzie visits her grandpa,</u> he's happy"
32,phrase,"<u>When the clock strikes, the hour</u> has started","<u>When the clock strikes the hour,</u> it's started"
33,phrase,"<u>When the guerrillas fight, the battle</u> has begun","<u>When the guerrillas fight the battle,</u> it's begun"
34,phrase,"<u>When the maid cleans, the rooms</u> are organized","<u>When the maid cleans the rooms,</u> they're organized"
35,phrase,"<u>When the original cast performs, the play</u> is fantastic","<u>When the original cast performs the play,</u> it's fantastic"
36,phrase,"<u>When Tim is presenting, the lectures</u> are interesting","<u>When Tim is presenting the lectures,</u> they're interesting"
37,phrase,"<u>When The Beatles play, the music</u> is noisy","<u>When The Beatles play the music,</u> it's noisy"
38,phrase,"<u>When Paul drinks, the rum</u> disappears","<u>When Paul drinks the rum,</u> it disappears"
39,phrase,"<u>When Mary helps, the homeless</u> are grateful","<u>When Mary helps the homeless,</u> they're grateful"
40,phrase,"<u>When the phone loads, the app</u> crashes","<u>When the phone loads the app,</u> it crashes"
41,phrase,"<u>When the shop closes, its doors</u> are locked","<u>When the shop closes its doors,</u> they're locked"
42,phrase,"<u>When a train passes, the station</u> shakes","<u>When a train passes the station,</u> it shakes"
43,phrase,"<u>When the actor practices, the monologue</u> is excellent","<u>When the actor practices the monologue,</u> it's excellent"
44,phrase,"<u>When the cowboy rides, the horse</u> is tired","<u>When the cowboy rides the horse,</u> it's tired"
46,phrase,"<u>Whenever the guard checks, the door</u> is locked","<u>Whenever the guard checks the door,</u> it's locked"
47,phrase,"<u>Whenever Bill teaches, the course</u> is boring","<u>Whenever Bill teaches the course,</u> it's boring"
48,phrase,"<u>Whenever a customer tips, the waiter</u> is pleased","<u>Whenever a customer tips the waiter,</u> he's pleased"
49,phrase,"<u>Whenever Rachel leads, the discussion</u> is exciting","<u>Whenever Rachel leads the discussion,</u> it's exciting"
50,phrase,"<u>Whenever Mary writes, the paper</u> is excellent","<u>Whenever Mary writes the paper,</u> it's excellent"
1,focus,"<u>Mary likes to <em>READ</em> books</u>, but she doesn't like to <em>WRITE</em> books","<u>Mary likes to read <em>BOOKS</em></u>, but she doesn't like to read <em>MAGAZINES</em>"
2,focus,"<u>Alice sometimes <em>PETS</em> dogs</u>, but she won't <em>WASH</em> dogs","<u>Alice sometimes pets <em>DOGS</em></u>, but she won't pet <em>CATS</em>"
5,focus,"<u>Dave likes to <em>STUDY</em> music</u>, but he doesn't like to <em>PLAY</em> music","<u>Dave likes to study <em>MUSIC</em></u>, but he doesn't like to study <em>HISTORY</em>"
6,focus,"<u>Sally has a <em>WINDOWS</em> computer</u>, but she really wants an <em>APPLE</em> computer","<u>Sally has a Windows <em>COMPUTER</em></u>, but she really wants a Windows <em>TABLET</em>"
7,focus,"<u>George asked for a <em>WHITE</em> Americano</u>, but the barista gave him a <em>BLACK</em> Americano","<u>George asked for a white <em>AMERICANO</em></u>, but the barista gave him a white <em>COFFEE</em> filter"
8,focus,"<u>Fiona was eating <em>STRAWBERRY</em> yogurt</u>, but she really wanted some <em>BLUEBERRY</em> yogurt","<u>Fiona was eating strawberry <em>YOGURT</em></u>, but she really wanted some strawberry <em>ICECREAM</em>"
9,focus,"<u>Tom likes <em>BARBECUE</em> chicken</u>, but not as much as <em>ROAST</em> chicken","<u>Tom likes barbecue <em>CHICKEN</em></u>, but not as much as barebecue <em>PORK</em>"
10,focus,"<u>Sophie likes to <em>PAINT</em> landscapes</u>, but she doesn't like to <em>DRAW</em> landscapes","<u>Sophie likes to paint <em>LANDSCAPES</em></u>, but she doesn't like to paint <em>PORTRAITS</em>"
11,focus,"<u>John can't <em>RUN</em> a marathon</u>, but he could <em>WALK</em> a marathon","<u>John can't run a <em>MARATHON</em></u>, but he could run a <em>MILE</em>"
12,focus,"<u>Matt is good at <em>FLYING</em> planes</u>, but he isn't good at <em>LANDING</em> planes","<u>Matt is good at flying <em>PLANES</em></u>, but he isn't good at flying <em>HELICOPTERS</em>"
13,focus,"<u>Pippa found a <em>JAM</em> jar</u>, but she couldn't find a <em>JELLY</em> jar","<u>Pippa found a jam <em>JAR</em></u>, but she couldn't find a jam <em>KNIFE</em>"
14,focus,"<u>Sam has a <em>FISH</em> knife</u>, but he doesn't have a <em>BUTTER</em> knife","<u>Sam has a fish <em>KNIFE</em></u>, but he doesn't have a fish <em>FORK</em>"
15,focus,"<u>Rachel likes <em>FRENCH</em> food</u>, but she doesn't like <em>ITALIAN</em> food","<u>Rachel likes French <em>FOOD</em></u>, but she doesn't like French <em>WINE</em>"
16,focus,"<u>The woman likes <em>WHITE</em> pearls</u>, but not <em>BLACK</em> pearls","<u>The woman likes white <em>PEARLS</em></u>, but not white <em>DIAMONDS</em>"
17,focus,"<u>Ken won't buy <em>SAINSBURY'S</em> pizza</u>, but he will buy <em>TESCO'S</em> pizza","<u>Ken won't buy Sainsbury's <em>PIZZA</em></u>, but he will buy Sainsbury's <em>CHICKEN</em>"
18,focus,"<u>Sarah has a <em>BARCLAY'S</em> card</u>, but she doesn't have a <em>LLOYDS</em> card","<u>Sarah has a Barclay's <em>CARD</em></u>, but she doesn't have a Barclay's <em>MORTGAGE</em>"
19,focus,"<u>Neil won't support <em>OXFORD'S</em> fencing team</u>, but he will support <em>CAMBRIDGE'S</em> fencing team","<u>Neil won't support Oxford's <em>FENCING TEAM</em></u>, but he will support Oxford's <em>ROWING TEAM</em>"
20,focus,"<u>Carolyn likes <em>SCOTTISH</em> pubs</u>, but she doesn't like <em>ENGLISH</em> pubs","<u>Carolyn likes Scottish <em>PUBS</em></u>, but she doesn't like Scottish <em>RESTAURANTS</em>"
21,focus,"<u>Micah has been to <em>REGENT'S</em> park</u>, but he hasn't been to <em>HYDE</em> Park","<u>Micah has been to Regent's <em>PARK</em></u>, but he hasn't been to Regent's <em>STREET</em>"
22,focus,"<u>Rosalyn likes to <em>DRINK</em> beer</u>, but she doesn't like to <em>BREW</em> beer","<u>Rosalyn likes to drink <em>BEER</em></u>, but she doesn't like to drink <em>LIQUOR</em>"
23,focus,"<u>Veronica has visited <em>AMERICA</em> for holiday</u>, but she hasn't visited <em>CANADA</em> for holiday","<u>Veronica has visited America <em>FOR HOLIDAY</em></u>, but she hasn't visited America <em>FOR WORK</em>"
24,focus,"<u>Tim has an <em>ELECTRIC</em> piano</u>, but he really wants an <em>ACOUSTIC</em> piano","<u>Tim has an electric <em>PIANO</em></u>, but he really wants an electric <em>GUITAR</em>"
25,focus,"<u>Ben has ridden a <em>UK</em> train</u>, but he has never ridden a <em>AMERICAN</em> train","<u>Ben has ridden a UK <em>TRAIN</em></u>, but he has never ridden a UK <em>BUS</em>"
26,focus,"<u>Nancy has a <em>SMALL</em> flat</u>, but she would really like a <em>LARGE</em> flat","<u>Nancy has a small <em>FLAT</em></u>, but she would really like a small <em>HOUSE</em>"
27,focus,"<u>Paul's house has a <em>BROWN</em> sofa</u>, but it doesn't have a <em>BLACK</em> sofa","<u>Paul's house has a brown <em>SOFA</em></u>, but it doesn't have a brown <em>CHAIR</em>"
28,focus,"<u>Robert doesn't like <em>DUTCH</em> cinema</u>, but he does like <em>GERMAN</em> cinema","<u>Robert doesn't like Dutch <em>CINEMA</em></u>, but he does like Dutch <em>THEATRE</em>"
29,focus,"<u>Jenny doesn't have any <em>GINGER</em> friends</u>, but she does have several <em>BLONDE</em> friends","<u>Jenny doesn't have any ginger <em>FRIENDS</em></u>, but she does have several ginger <em>COLLEAGUES</em>"
30,focus,"<u>You shouldn't open the <em>RED</em> suitcase</u>, but you can open the <em>GREEN</em> suitcase","<u>You shouldn't open the red <em>SUITCASE</em></u>, but you can open the red <em>CHEST</em>"
31,focus,"<u>Emma doesn't <em>SPEAK</em> well</u>, but she does <em>DRESS</em> well","<u>Emma doesn't speak <em>WELL</em></u>, but she does speak <em>OFTEN</em>"
32,focus,"<u>Rose has visited <em>SOUTHERN</em> Greece</u>, but she has not visited <em>NORTHERN</em> Greece","<u>Rose has visited southern <em>GREECE</em></u>, but she has not visited southern <em>ITALY</em>"
33,focus,"<u>Jane can speak <em>MODERN</em> Greek</u>, but she can't speak <em>ANCIENT</em> Greek","<u>Jane can speak modern <em>GREEK</em></u>, but she can't speak modern <em>EGYPTIAN</em>"
34,focus,"<u>Jim likes <em>BOOTS'</em> shampoo</u>, but he doesn't like <em>SUPERDRUG</em> shampoo","<u>Jim likes Boots' <em>SHAMPOO</em></u>, but he doesn't like Boots' <em>BODYWASH</em>"
35,focus,"<u>Cameron will sometimes <em>WATCH</em> basketball</u>, but he will never <em>PLAY</em> basketball","<u>Cameron will sometimes watch <em>BASKETBALL</em></u>, but he will never watch <em>CRICKET</em>"
36,focus,"<u>Terry buys <em>SPARKLING</em> water</u>, but not <em>STILL</em> water","<u>Terry buys sparkling <em>WATER</em></u>, but not sparkling <em>WINE</em>"
37,focus,"<u>Richard said to buy <em>RED</em> cups</u>, but not <em>BLUE</em> cups","<u>Richard said to buy red <em>CUPS</em></u>, but not red <em>PLATES</em>"
38,focus,"<u>Harriet can <em>SPEAK</em> Mandarin</u>, but she can't <em>READ</em> Mandarin","<u>Harriet can speak <em>MANDARIN</em></u>, but she can't speak <em>CANTONESE</em>"
39,focus,"<u>Olivia was looking for <em>WOODEN</em> boats</u>, but she only found <em>PLASTIC</em> boats","<u>Olivia was looking for wooden <em>BOATS</em></u>, but she only found wooden <em>PLANES</em>"
40,focus,"<u>Michael likes to <em>PLANT</em> flowers</u>, but he hates to <em>PICK</em> flowers","<u>Michael likes to plant <em>FLOWERS</em></u>, but he hates to plant <em>POTATOES</em>"
41,focus,"<u>Cathy likes to <em>OBSERVE</em> children</u>, but she doesn't like to <em>TALK</em> to children","<u>Cathy likes to observe <em>CHILDREN</em></u>, but she doesn't like to observe <em>ADULTS</em>"
42,focus,"<u>Lily likes to <em>BUY</em> stocks</u>, but she doesn't like to <em>SELL</em> stocks","<u>Lily likes to buy <em>STOCKS</em></u>, but she doesn't like to buy <em>BONDS</em>"
43,focus,"<u>Alex likes to <em>COLLECT</em> dolls</u>, but he doesn't like to <em>PLAY</em> with dolls","<u>Alex likes to collect <em>DOLLS</em></u>, but he doesn't like to collect <em>STAMPS</em>"
44,focus,"<u>Frank has a <em>TOY</em> dog</u>, but he would really like a <em>REAL</em> dog","<u>Frank has a toy <em>DOG</em></u>, but he would really like a toy <em>BIRD</em>"
46,focus,"<u>Bonnie has an <em>AMERICAN</em> visa</u>, but she really wants a <em>BRITISH</em> visa","<u>Bonnie has an American <em>VISA</em></u>, but she really wants a American <em>PASSPORT</em>"
47,focus,"<u>Patsy likes <em>STARBUCKS</em> coffee</u>, but her friends like <em>COSTA</em> coffee","<u>Patsy likes Starbucks <em>COFFEE</em></u>, but her friends like Starbucks <em>TEA</em>"
48,focus,"<u>Timothy bought a <em>LEATHER</em> jacket</u>, because he couldn't find a <em>CLOTH</em> jacket","<u>Timothy bought a leather <em>JACKET</em></u>, because he couldn't find leather <em>SHOES</em>"
49,focus,"<u>Carrie likes STAR <em>TREK</em> films</u>, but she can't stand Star <em>WARS</em> films","<u>Carrie likes Star Trek <em>FILMS</em></u>, but she can't stand Star Trek <em>CARTOONS</em>"
50,focus,"<u>Daniel enjoys <em>CHICAGO</em> pizza</u>, but he doesn't care for <em>NEW YORK</em> pizza","<u>Daniel enjoys Chicago <em>PIZZA</em></u>, but he doesn't care for Chicago <em>BEER</em>"
